Fp2;F8;FT8;T8;TP8;P8;TP10;O2;Oz;O1;TP9;P7;TP7;T7;FT7;F7;FP1;AFz;F4;FC4;C4;CP4;P4;Pz;P3;CP3;C3;FC3;F3;Fz;FCz;CPz;Cz
-10.687;-7.283;-2.326;2.786;6.004;8.751;8.727;2.360;1.646;-1.040;0.781;-9.164;-5.587;-7.834;-11.145;-7.998;-11.122;-13.753;-12.066;-7.240;1.215;5.767;8.463;5.885;-2.010;-2.252;-3.604;-8.204;-10.823;-13.702;-13.113;-0.557;-8.475
-8.977;-6.432;-1.165;2.251;6.828;11.520;9.199;4.238;1.974;-1.246;0.247;-8.207;-5.436;-7.111;-10.309;-7.199;-9.407;-11.682;-10.855;-7.120;0.704;6.157;9.812;6.876;-1.078;-1.305;-2.685;-7.173;-9.275;-12.279;-12.455;-0.213;-8.533
-6.808;-4.979;0.508;1.542;7.492;13.787;9.404;5.971;2.280;-1.575;-0.639;-7.295;-5.073;-6.231;-9.119;-6.201;-7.508;-9.276;-9.050;-6.441;0.240;6.229;10.611;7.380;-0.415;-0.531;-1.820;-6.032;-7.532;-10.332;-11.166;0.061;-8.026
-4.541;-3.244;2.372;0.653;8.037;15.495;9.337;7.436;2.446;-2.132;-1.667;-6.500;-4.591;-5.265;-7.751;-5.035;-5.515;-6.808;-6.925;-5.380;-0.323;5.901;10.805;7.274;-0.141;-0.068;-1.133;-4.904;-5.756;-8.113;-9.470;0.140;-7.107
-2.524;-1.590;4.070;-0.217;8.507;16.666;9.022;8.581;2.444;-2.906;-2.646;-5.800;-4.076;-4.252;-6.335;-3.787;-3.554;-4.519;-4.713;-4.148;-1.069;5.162;10.420;6.529;-0.294;0.014;-0.698;-3.878;-4.113;-5.871;-7.615;-0.067;-5.967
-0.998;-0.311;5.299;-0.681;8.914;17.339;8.498;9.372;2.274;-3.814;-3.416;-5.147;-3.568;-3.204;-4.964;-2.597;-1.794;-2.588;-2.612;-2.969;-2.004;4.052;9.525;5.197;-0.853;-0.298;-0.562;-3.013;-2.738;-3.839;-5.838;-0.613;-4.807
-0.043;0.438;5.854;-0.402;9.210;17.537;7.855;9.761;1.904;-4.798;-3.855;-4.564;-3.120;-2.186;-3.771;-1.630;-0.423;-1.163;-0.800;-2.052;-3.093;2.636;8.200;3.361;-1.807;-1.012;-0.783;-2.388;-1.743;-2.245;-4.360;-1.543;-3.847
0.407;0.650;5.673;0.570;9.310;17.275;7.248;9.696;1.272;-5.857;-3.888;-4.169;-2.834;-1.374;-2.964;-1.048;0.398;-0.331;0.555;-1.549;-4.273;1.009;6.535;1.109;-3.162;-2.157;-1.450;-2.131;-1.228;-1.279;-3.374;-2.882;-3.304
0.601;0.502;4.931;1.859;9.187;16.625;6.834;9.188;0.396;-6.951;-3.555;-4.044;-2.783;-0.955;-2.659;-0.884;0.652;-0.023;1.380;-1.464;-5.385;-0.638;4.695;-1.377;-4.829;-3.686;-2.559;-2.298;-1.176;-0.956;-2.949;-4.534;-3.264
0.967;0.358;4.044;3.180;8.973;15.777;6.685;8.407;-0.516;-7.877;-3.052;-4.085;-2.884;-0.940;-2.670;-0.931;0.572;0.050;1.783;-1.606;-6.121;-1.967;2.983;-3.740;-6.530;-5.358;-3.896;-2.710;-1.356;-1.032;-2.933;-6.189;-3.568
1.861;0.522;3.393;4.478;8.852;14.938;6.739;7.604;-1.165;-8.372;-2.577;-4.062;-2.952;-1.194;-2.618;-0.878;0.510;0.207;1.937;-1.746;-6.188;-2.637;1.720;-5.580;-7.920;-6.843;-5.132;-3.058;-1.455;-1.185;-3.082;-7.465;-3.930
3.220;0.962;3.025;5.677;8.883;14.176;6.828;6.937;-1.379;-8.306;-2.142;-3.809;-2.860;-1.611;-2.247;-0.569;0.692;0.538;1.865;-1.841;-5.551;-2.533;1.034;-6.685;-8.818;-7.933;-6.054;-3.169;-1.337;-1.299;-3.299;-8.157;-4.181
4.596;1.368;2.680;6.587;8.981;13.419;6.782;6.424;-1.173;-7.722;-1.606;-3.296;-2.592;-2.189;-1.554;-0.064;1.115;0.881;1.443;-2.021;-4.439;-1.803;0.833;-7.081;-9.236;-8.604;-6.650;-3.103;-1.095;-1.500;-3.681;-8.295;-4.333
5.492;1.438;2.073;7.048;9.040;12.614;6.519;6.041;-0.644;-6.706;-0.858;-2.558;-2.190;-2.922;-0.706;0.475;1.627;1.004;0.569;-2.422;-3.155;-0.705;0.946;-6.912;-9.237;-8.911;-7.014;-3.044;-0.935;-1.987;-4.384;-8.022;-4.467
